Id,QuestionAz,QuestionEn,QuestionRu,AnswerAz,AnswerEn,AnswerRu
5,Niyə görə avtomobili ABŞ-dan almalı - bu sərfəlidir?,,,"ABŞ-dan avtomobil almağın ağıllı hərəkət olmasının əsas səbəbi – Amerikadan ikinci əl avtomobillərin qiymətidir. Hərracların çoxsaylı ticarət meydançalarında yüz minlərlə “təzə”, çox keyfiyyətlə yığılmış, zəngin komplektasiyalı və minimal yürüşlü maşınlar satılır. Lotların aşağı qiyməti YNH-dən sonra, vandalizm, təbii fəlakətlərdən və s. xəsarət almış avtomobillərin vəziyyəti ilə şərtlənir. Amma bu o demək deyil ki, satışa təklif olunan bütün avtomobillər bərpa oluna bilməyən vəziyyətdədir. Çox zaman zahirən dəhşətli görünən zədələr təmirə çəkilən xərclər baxımından tamamilə cüzi olur. Buna görə də hətta bütün daşınma, sənədləşdirmə və gömrük rəsmiləşdirilməsi xərclərini nəzərə alaraq belə, ABŞ-dan avtomobil Azərbaycan bazarındakı analoqdan dəfələrlə ucuz olacaq. Seqmentdən asılı olaraq, fərq 15 faizdən 50 faizədək ola bilər.",,
6,Niyə görə amerikan avtomobillərini Gürcüstandan almaq məsləhət deyil?,,,"Gürcüstan ABŞ avtomobillərinin Avropa bazarında təkrar satışı üzrə əsas oyunçudur. Lakin, Gürcüstana gətirilən avtomobillərin həcmləri əsasən alıcıların seçimsizliyi ilə bağlıdır. Avtomobillərin böyük əksəriyyəti sonradan təkrar satılmaq üçün alınır. Təbii ki, maşınlar mümkün qədər ucuz alınır və deməli – açıq-aşkar pis vəziyyətdədir. Bundan sonra avtomobil təmir olunur və yenidən Avropanın müxtəlif ölkələri, bir qayda olaraq, yaxın xaric ölkələrinə satılır. Lakin bu cür maşınların bir sıra çatışmazlıqları var: birincisi, onların təmir keyfiyyəti böyük şübhə doğurur. İkincisi, hamıya məlum olan faktdır ki, Gürcüstan Amerika hərraclarından “kukla” və “boğulmuş” adlanan avtomobillərin əsas alıcısıdır. Buna görə də, avtomobili Gürcüstandan aldıqda, onu təkrarən çox diqqətlə və dürüst yoxlamaq lazımdır.",,
7,Amerika hərraclarında yalnız vurulmuş avtomobillər almaq mümkündür?,,,"Heç də yox. ABŞ hərraclarında tam salamat nəqliyyat vasitələri də satılır. Niyə görə vurulmuş avtomobillər alınır? Məsələ onların ilkin qiymətindədir. Artıq izah etdiyimiz kimi, bütün əlavə çatdırılma, rəsmiləşdirilmə və təmir xərcləri nəzərə alınmaqla, Amerikada zədəli ikinci əl avtomobilin ilkin qiyməti analoji avtomobilin daxili bazardakı dəyərini müqayisə etsək, alıcıya əhəmiyyətli dərəcədə vəsaitə qənaət etməyə imkan verəcək. Lakin, insan Amerikada salamat avtomobil almaq istəyərsə - bu problem deyil. Lakin bu halda qiymət fərqi o qədər də cəlbedici deyil – 10 faizdən 25 faizədək, bəzi hallarda isə Amerikadan salamat avtomobil Azərbaycanda olduğundan da baha başa gələ bilər.",,
8,Hansı maşınları alırsınız?,,,"Öz müştərilərimiz üçün biz yalnız tam əmin olduğumuz avtomobilləri alırıq. Müştəri istəyərsə, biz istənilən vəziyyətdə və istənilən zədələrdən sonra istənilən maşını ala bilərik, lakin əsas vəzifə kimi biz istənilən halda insan üçün layiqli avtomobil almağı görürük. Maşın seçərkən, mütəxəssislərimiz, əlçatan alətlərdən istifadə etməklə, avtomobilin dəqiq axtarış və yoxlanma alqoritmini rəhbər tuturlar. Yalnız maşını dəqiq yoxladıqdan və onun istər müştərinin istəkləri, istərsə də büdcəsinə müvafiqliyinə əmin olduqdan sonra biz bu avtomobili müştəriyə tövsiyə edirik. Lakin bu halda, son söz müştəriyə məxsusdur.",,
9,Avtomobilləri necə yoxlayırsınız?,,,"ABŞ hərraclarında avtomobilin yoxlanması prosesi bizim detallarını açıqlaya bilməyəcəyimiz əqli mülkiyyətimizdir. Lakin avtomobilin bir neçə ümumi qəbul edilmiş yoxlanması metodları var: maşının fotoşəkillər üzrə axtarışı, avtomobilin Karfaks (Carfax) və Autocheck (Autoçek) verilənlər bazalarında yoxlanması, birbaşa avtomobili satan sığorta şirkətinə müraciət. Amma bundan başqa, menecerlərimiz menecer tərəfindən seçilmiş avtomobilin həqiqətən də keyfiyyətli olmasına zəmanət verən işlənib hazırlanmış avtomobil yoxlama sistemindən istifadə edirlər.",,
10,Depozit götürürsünüz. Bu nə depozitdir?,,,"Hər bir hərracın qaydalarında müştərinin seçdiyi avtomobildən imtina etdiyi və ya avtomobilə görə ödənişi gecikdirdiyi halda tutulan sığorta haqları mövcuddur. Məhz bu sığorta haqqı bizim götürdüyümüz depozitdir. Şirkətimiz hərracda müştərinin adından çıxış etdiyindən, bütün reputasiya və maliyyə riskləriCaucasus Auto Import şirkətinin üzərinə düşür. Sığorta depozitinin ölçüsü dəqiqliklə hərracların tələb etdiyi rəqəmlərə müvafiqdir.",,
11,Depozitin məbləği nə qədərdir və niyə görə fərqlidir?,,,"Sığorta depozitinin məbləği avtomobilin satıldığı hərracdan, eləcə də maşının ehtimal olunan dəyərindən asılıdır. Avtomobilin qiymətinin 10 000 dollarını aşmadığı halda, depozit məbləği 10%, yəni, 1000 ABŞ dollarına bərabər olacaq. Avtomobilin qiymətinin 10 000 dollardan artıq olduğu halda isə, depozitin ölçüsü aşağıdakı şəkildə formalaşır: Kopart hərracı - avtomobilin dəyərinin 10%-i üstəgəl hərrac rüsumu; İnşurens hərracı - avtomobilin dəyərinin 15%-i üstəgəl hərrac rüsumu; Manheym hərracı - avtomobilin dəyərinin fiksasiya olunmuş 20%-i üstəgəl hərrac rüsumu. Avtomobilin təxmini dəyəri menecer tərəfindən hələ hərrac başlamazdan əvvəl bildirilir. Avtomobilin yekun dəyərinin göstərilməsinin kifayət qədər mürəkkəb olmasını nəzərə almaq lazımdır, buna görə rəqəmlər ehtimal olunandan 5-10% fərqlənə bilər. Depozit avtomatik olaraq hərracda udulmuş avtomobilin dəyərinə daxil edilir.",,
12,Depozit hansı hallarda geri qaytarılır?,,,Sığorta depoziti tam həcmdə yalnız müştərinin avtomobili almaqdan hərracın başlanmasından əvvəl imtina etdiyi halda geri qaytarılır. Depozit həmçinin müqavilədə şərtləşdirilmiş müddətdə avtomobil seçə və ala bilmədiyimiz halda tam həcmdə qaytarılır. Müştərinin istəyi ilə sığorta haqqı ABŞ hərracında avtomobilin axtarışı və alınmasına dair müqavilənin təkrar bağlanması zamanı təkrar istifadə edilə bilər.,,
13,Hansı hallarda sığorta depoziti geri qaytarılmır?,,,"Sığorta depoziti müştəriyə onun hərracda artıq udulmuş avtomobildən imtina etdiyi və ya avtomobilin haqqını uduş anından üç sutka ərzində ödəmədiyi halda geri qaytarılmır. Bu hallardaCaucasus Auto Import şirkəti sığorta depoziti hərracın alıcı kimi bizə tətbiq etdiyi cərimələrin kompensasiyası üçün istifadə edilir. Depozitin hansı hallarda geri qaytarılması və hansı hallarda geri qaytarılmaması müştəriyə hələ hərracın başlanması anınadək səsləndirilir, eləcə də müqavilədə yazılır.",,
14,Hansı zəmanətlərə ümid edə bilərəm?,,,"Auto Trader şirkəti şirkət və sifarişçi arasında tərtib edilən müqavilənin bəndlərinə tam riayət olunmasına zəmanət verir. Şirkətin vəzifələrinə müqavilənin bütün: müddət, avtomobilin dəyəri, qiyməti və çatdırılması və s. bəndlərinə riayət olunması daxildir. Müqavilə tam hüquqi qüvvəyə malikdir və yalnız bütün şərtlərə riayət edildikdən sonra qüvvəsinə xitam verir.",,
