Id,ImagePath,VideoLink,Type
14,/Admin/Uploads/Gallery/2e2b3238-432d-472d-b02d-ae9c29df89eaWatermark (2)_1024x574.jpg,,1
15,/Admin/Uploads/Gallery/dbe89657-add8-4fe0-a469-7ce35814d1eaWatermark (2)_1024x768.jpg,,1
17,/Admin/Uploads/Gallery/7d0bec1b-48d2-4adf-a509-845b9d0841c2Watermark (4)_1024x768.jpg,,1
18,/Admin/Uploads/Gallery/75a3a378-8451-4d06-ace4-a843b0b6ca4fWatermark (5)_1024x768.jpg,,1
21,/Admin/Uploads/Gallery/9942fa75-239a-40dd-bacb-5e4d6eaf9e28Watermark (2)_1024x769.jpg,,1
22,/Admin/Uploads/Gallery/309a1446-4cb2-4c60-bd86-3dfcf6641e9bWatermark (1)_1024x769.jpg,,1
23,/Admin/Uploads/Gallery/2e96b097-bbef-43c2-bb00-379407a87451Watermark (2)_1024x768.jpg,,1
24,/Admin/Uploads/Gallery/4947d815-05ed-4f92-b773-d42be0f9f709BMW m5 03.jpeg,,1
25,/Admin/Uploads/Gallery/f448bc23-4453-40bf-b6f3-027146a905d5BMW m5 06.jpeg,,1
26,/Admin/Uploads/Gallery/ac702022-1005-4f14-b7e1-a08b8cd5995cBMW m5 01.jpeg,,1
27,/Admin/Uploads/Gallery/94ceab84-2ca0-4f66-948c-13f0f33c9e82Watermark.jpg,,1
28,/Admin/Uploads/Gallery/3d58a0f7-ab30-4469-8298-ff8112d46e03Watermark (16)_1024x683.jpg,,1
29,,https://www.youtube.com/embed/bF83G7rlQRg,2
30,,https://www.youtube.com/embed/tjhElgv9jvQ,2
31,/Admin/Uploads/Gallery/07961e2f-47f6-4443-8716-7a27f1f8ac19Logo transpatent.png,,1
