Id,NameAz,NameEn,NameRu,BrandId
1,528i,528i,528i,1
2,C220,C220,C220,2
5,A4,A4,A4,5
6,PRIUS,PRIUS,PRIUS,6
7,CAMRY,CAMRY,CAMRY,6
8,COROLLA,COROLLA,COROLLA,6
9,CRUZE,CRUZE,CRUZE,7
10,MALIBU,MALIBU,MALIBU,7
11,ACCENT,ACCENT,ACCENT,4
12,SANTA FE,SANTA FE,SANTA FE,4
13,E300,E300,E300,2
14,C250,C250,C250,2
15,530i,530i,530i,1
16,428i,428i,428i,1
17,328i,328i,328i,1
18,330i,330i,330i,1
19,X6,X6,X6,1
20,X5,X5,X5,1
21,K5 GT-LINE,K5 GT-LINE,K5 GT-LINE,8
22,STINGER,STINGER,STINGER,8
23,OPTIMA,OPTIMA,OPTIMA,8
24,SORENTO,SORENTO,SORENTO,8
25,XC90,XC90,XC90,9
26,FUSION,FUSION,FUSION,10
27,MUSTANG,MUSTANG,MUSTANG,10
28,EDGE,EDGE,EDGE,10
29,RANGE ROVER,RANGE ROVER,RANGE ROVER,11
30,IS 200T,IS 200T,IS 200T,12
31,WRANGLER,WRANGLER,WRANGLER,13
32,RAV4 HYBRID XLE,,,6
